scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,p_grade_0_(normal),r_grade_0_(normal),f1_grade_0_(normal),p_grade_1_(doubtful),r_grade_1_(doubtful),f1_grade_1_(doubtful),p_grade_2_(minimal),r_grade_2_(minimal),f1_grade_2_(minimal),p_grade_3_(moderate),r_grade_3_(moderate),f1_grade_3_(moderate),p_grade_4_(severe),r_grade_4_(severe),f1_grade_4_(severe)
single_ce,33,CE,0.7981,63.1039,0.4378,0.7602,0.6515,0.6405,0.6435,0.632,0.631,0.6293,0.7109,0.7543,0.732,0.2816,0.2939,0.2876,0.6658,0.5526,0.6039,0.7549,0.8565,0.8025,0.8444,0.7451,0.7917
single_ce,81,CE,0.7841,61.715,0.4601,0.7848,0.6375,0.6296,0.6306,0.6242,0.6171,0.6169,0.698,0.7559,0.7258,0.2853,0.3277,0.305,0.6479,0.4899,0.558,0.7806,0.8296,0.8043,0.7755,0.7451,0.76
single_ce,5,CE,0.8003,61.715,0.4378,0.7417,0.6705,0.648,0.6516,0.6559,0.6171,0.628,0.7321,0.7058,0.7187,0.2982,0.4595,0.3617,0.6948,0.4787,0.5669,0.7939,0.8117,0.8027,0.8333,0.7843,0.8081
single_coral,33,CORAL,0.8204,63.7077,0.4094,0.7088,0.689,0.6574,0.6662,0.6625,0.6371,0.6419,0.7337,0.7762,0.7544,0.3077,0.4189,0.3548,0.7053,0.4765,0.5688,0.787,0.8117,0.7991,0.9111,0.8039,0.8542
single_coral,81,CORAL,0.805,62.2585,0.4402,0.753,0.6362,0.6584,0.643,0.6282,0.6226,0.6207,0.7208,0.7637,0.7416,0.284,0.3243,0.3028,0.6524,0.4787,0.5523,0.7344,0.843,0.785,0.7895,0.8824,0.8333
single_coral,5,CORAL,0.8281,64.8551,0.3967,0.6989,0.6758,0.667,0.6699,0.6544,0.6486,0.6494,0.7274,0.7809,0.7532,0.2945,0.3243,0.3087,0.6875,0.566,0.6209,0.8097,0.8206,0.8151,0.86,0.8431,0.8515
teacher_resnet50_ce,shared,CE,0.8115,65.4589,0.4058,0.7273,0.6792,0.6774,0.678,0.6616,0.6546,0.6578,0.7581,0.7355,0.7466,0.3323,0.3682,0.3494,0.655,0.6286,0.6416,0.7904,0.8117,0.8009,0.86,0.8431,0.8515
teacher_resnet50_coral,shared,CORAL,0.8481,66.7874,0.3641,0.6543,0.6973,0.6923,0.6923,0.6846,0.6679,0.6733,0.7766,0.7778,0.7772,0.3207,0.3986,0.3554,0.7194,0.5794,0.6419,0.7899,0.843,0.8156,0.88,0.8627,0.8713
