scenario,seed,head,qwk,acc_pct,mae,rmse,macro_p,macro_r,macro_f1,wtd_p,wtd_r,wtd_f1,p_no_dr,r_no_dr,f1_no_dr,p_mild,r_mild,f1_mild,p_moderate,r_moderate,f1_moderate,p_severe,r_severe,f1_severe,p_proliferative_dr,r_proliferative_dr,f1_proliferative_dr
baseline_ce,33,ce,0.7993,63.2246,0.4336,0.755,0.6626,0.6496,0.6541,0.6382,0.6322,0.6325,0.7194,0.7825,0.7496,0.2879,0.3209,0.3035,0.6639,0.5302,0.5896,0.7644,0.7713,0.7679,0.8776,0.8431,0.86
baseline_ce,81,ce,0.7945,61.1111,0.4523,0.7634,0.6528,0.6592,0.644,0.6498,0.6111,0.6168,0.7271,0.734,0.7305,0.2971,0.4527,0.3588,0.7165,0.4183,0.5282,0.7303,0.7892,0.7586,0.7931,0.902,0.844
baseline_ce,5,ce,0.7901,60.8696,0.4583,0.7705,0.6671,0.625,0.6281,0.6451,0.6087,0.6053,0.7051,0.7934,0.7467,0.2995,0.4392,0.3562,0.7196,0.3445,0.466,0.7276,0.8027,0.7633,0.8837,0.7451,0.8085
baseline_coral,33,coral,0.8128,61.3527,0.4281,0.716,0.6665,0.6607,0.6535,0.661,0.6135,0.6263,0.7559,0.698,0.7258,0.3071,0.5135,0.3843,0.6821,0.4609,0.5501,0.784,0.7489,0.7661,0.8036,0.8824,0.8411
baseline_coral,81,coral,0.8032,60.9903,0.4378,0.731,0.662,0.6537,0.6465,0.6602,0.6099,0.625,0.745,0.6948,0.719,0.3008,0.5,0.3756,0.6738,0.4944,0.5703,0.8483,0.6771,0.7531,0.7419,0.902,0.8142
baseline_coral,5,coral,0.8097,60.8092,0.436,0.7257,0.6506,0.6557,0.646,0.649,0.6081,0.6205,0.7697,0.6588,0.7099,0.2987,0.4662,0.3641,0.656,0.5034,0.5696,0.7171,0.8072,0.7595,0.8113,0.8431,0.8269
